thoi_gian,y_t
2019-01-01,428.0104166666667
2019-01-02,427.96333333333337
2019-01-03,427.9391666666667
2019-01-04,427.8833333333334
2019-01-05,427.8379166666667
2019-01-06,427.7475
2019-01-07,427.68333333333334
2019-01-08,427.6058333333333
2019-01-09,427.5333333333333
2019-01-10,427.4258333333333
2019-01-11,427.3491666666667
2019-01-12,427.27666666666664
2019-01-13,427.20416666666665
2019-01-14,427.12416666666667
2019-01-15,427.01500000000004
2019-01-16,426.905
2019-01-17,426.78999999999996
2019-01-18,426.655
2019-01-19,426.53583333333336
2019-01-20,426.4491666666667
2019-01-21,426.33666666666664
2019-01-22,426.25500000000005
2019-01-23,426.135
2019-01-24,426.01500000000004
2019-01-25,425.86833333333334
2019-01-26,425.99458333333337
2019-01-27,426.785
2019-01-28,427.4291666666666
2019-01-29,427.51
2019-01-30,427.38374999999996
2019-01-31,427.26
2019-02-01,427.1366666666667
2019-02-02,427.695
2019-02-03,428.0525
2019-02-04,427.935
2019-02-05,427.81
2019-02-06,427.69
2019-02-07,427.57
2019-02-08,427.45
2019-02-09,427.33
2019-02-10,427.21000000000004
2019-02-11,427.0754166666666
2019-02-12,426.89916666666664
2019-02-13,426.7970833333333
2019-02-14,427.425
2019-02-15,428.10791666666665
2019-02-16,428.3875
2019-02-17,428.2245833333333
2019-02-18,428.0975
2019-02-19,428.00416666666666
2019-02-20,427.9075
2019-02-21,427.7604166666667
2019-02-22,427.6466666666667
2019-02-23,427.4804166666667
2019-02-24,427.4379166666667
2019-02-25,427.3025
2019-02-26,427.19875
2019-02-27,427.075
2019-02-28,426.96791666666667
2019-03-01,426.7654166666667
2019-03-02,426.66
2019-03-03,426.62833333333333
2019-03-04,426.48499999999996
2019-03-05,426.3541666666667
2019-03-06,426.47625
2019-03-07,426.6466666666667
2019-03-08,426.90166666666664
2019-03-09,427.45125
2019-03-10,427.68625
2019-03-11,427.4454166666667
2019-03-12,427.295
2019-03-13,427.6958333333334
2019-03-14,427.80875
2019-03-15,427.66291666666666
2019-03-16,427.66875
2019-03-17,427.6566666666667
2019-03-18,427.5104166666667
2019-03-19,427.44374999999997
